day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
230,23.87289,24.33561,24.33561,23.11646,23.29513
231,23.77879,24.28196,25.51134,24.17461,23.97874
232,23.68037,22.76512,16.71788,16.26050,16.32929
233,23.57769,23.92158,16.46145,16.02972,15.84844
234,23.47085,23.54183,27.32414,25.80614,25.68949
235,23.35992,23.52764,28.12101,26.52332,26.54898
236,23.24499,23.65888,23.65888,22.50740,22.62498
237,23.12615,23.62493,23.62493,22.47684,22.49665
238,23.00350,24.05540,24.05540,22.86427,22.67124
239,22.87712,22.89329,22.89329,21.81837,21.86646
240,22.74711,22.25136,22.25136,21.24063,21.42634
241,22.61357,21.54398,21.54398,20.60399,20.74093
242,22.47661,22.31969,22.31969,21.30213,21.12303
243,22.33632,22.49612,22.49612,21.46092,21.55006
244,22.19281,22.78054,22.78054,21.71690,21.59433
245,22.04619,22.88802,22.88802,21.81363,21.97097
246,21.89656,22.53605,24.33002,23.11143,23.04552
247,21.74404,23.28167,25.16537,23.86324,23.99231
248,21.58873,22.28778,23.72468,22.56662,22.41854
249,21.43075,22.01752,22.01752,21.03018,20.93708
250,21.27022,21.59512,21.59512,20.65001,20.60618
251,21.10724,21.52592,21.52592,20.58773,20.41743
252,20.94195,22.00382,19.91553,19.13838,19.10812
253,20.77444,20.81313,22.41043,21.38380,21.51889
254,20.60485,21.65199,24.20855,23.00211,23.17845
255,20.43328,20.78587,20.78587,19.92169,19.83908
256,20.25987,20.18915,20.18915,19.38464,19.54594
257,20.08473,20.14250,20.14250,19.34266,19.33817
258,19.90797,20.73166,20.73166,19.87291,20.05970
259,19.72973,19.69966,19.69966,18.94410,18.94227
260,19.55013,19.99094,19.99094,19.20626,19.08455
261,19.36927,18.97678,20.71465,19.85760,19.88912
262,19.18730,18.58984,16.65677,16.20550,16.17433
263,19.00431,20.26730,17.85551,17.28437,17.09338
264,18.82044,18.91701,18.91701,18.23972,18.23228
265,18.63581,19.30599,19.30599,18.58980,18.69054
266,18.45054,19.47927,19.47927,18.74575,18.86180
267,18.26473,18.58246,18.58246,17.93862,18.13703
268,18.07852,19.01925,19.01925,18.33173,18.26234
269,17.89202,18.97826,18.97826,18.29484,18.45534
270,17.70534,18.60924,18.60924,17.96273,18.04362
271,17.51860,18.71094,18.71094,18.05425,18.24416
272,17.33191,17.52651,17.52651,16.98827,16.90598
273,17.14540,17.71346,17.71346,17.15652,17.00169
274,16.95915,17.23332,17.23332,16.72440,16.54522
275,16.77330,16.78711,16.78711,16.32281,16.28201
276,16.58793,17.62160,17.62160,17.07385,16.99649
277,16.40317,17.16364,17.16364,16.66168,16.56384
278,16.21911,15.84522,15.84522,15.47511,15.44502
279,16.03586,15.59390,15.59390,15.24892,15.07549
280,15.85352,16.80466,16.80466,16.33860,16.40013
281,15.67219,16.13085,16.13085,15.73218,15.86417
282,15.49196,16.96262,16.96262,16.48077,16.68013
283,15.31292,15.75641,15.75641,15.39518,15.58172
284,15.13518,16.62060,16.62060,16.17295,16.16295
285,14.95881,15.19703,15.19703,14.89174,15.03485
286,14.78391,15.43401,15.43401,15.10502,15.13975
287,14.61056,14.65326,14.65326,14.40235,14.28990
288,14.43884,14.35051,14.35051,14.12987,14.07521
289,14.26883,14.83706,12.87018,12.79757,12.66477
290,14.10061,14.56790,17.56472,17.02266,16.88270
291,13.93426,14.55045,17.37033,16.84770,16.97912
292,13.76984,14.65740,14.65740,14.40607,14.35745
293,13.60742,14.30969,14.30969,14.09313,13.96842
294,13.44707,13.78238,13.78238,13.61855,13.57915
295,13.28885,14.10472,14.10472,13.90865,14.07101
296,13.13282,13.72386,13.72386,13.56588,13.38068
297,12.97903,13.39067,14.94513,14.66502,14.70133
298,12.82755,13.46702,12.24082,12.23115,12.16991
299,12.67841,13.39813,14.73823,14.47882,14.51447
300,12.53168,13.23034,13.23034,13.12171,13.00779
301,12.38739,12.71143,12.71143,12.65469,12.58297
302,12.24558,13.35637,13.35637,13.23514,13.10035
303,12.10630,13.10680,13.10680,13.01053,13.19044
304,11.96957,11.68495,11.68495,11.73087,11.91856
305,11.83543,12.11449,12.11449,12.11745,12.25133
306,11.70391,13.08277,13.08277,12.98890,13.15160
307,11.57504,11.42719,11.42719,11.49888,11.60768
308,11.44883,10.99554,10.99554,11.11040,11.04299
309,11.32531,11.80555,10.56189,10.72011,10.54135
310,11.20450,11.41817,9.02873,9.34026,9.33412
311,11.08640,10.97726,9.22864,9.52019,9.51204
312,10.97103,10.93183,10.93183,11.05306,10.95319
313,10.85839,11.29570,11.29570,11.38054,11.43162
314,10.74849,11.73962,11.73962,11.78007,11.59888
315,10.64134,10.82381,10.82381,10.95583,10.92381
316,10.53692,10.19353,10.19353,10.38858,10.22420
317,10.43524,11.47166,11.47166,11.53891,11.60428
318,10.33628,10.64158,10.64158,10.79183,10.72395
319,10.24005,11.41572,11.41572,11.48856,11.68236
320,10.14652,9.66778,9.66778,9.91541,9.78792
321,10.05568,10.61719,10.61719,10.76988,10.62313
322,9.96751,10.40611,10.40611,10.57991,10.52136
323,9.88200,9.44423,9.44423,9.71421,9.80823
324,9.79911,10.24047,10.24047,10.43083,10.41040
325,9.71883,9.40176,9.40176,9.67599,9.75970
326,9.64112,9.72314,9.72314,9.96524,10.06941
327,9.56596,10.12271,11.46879,11.53632,11.63322
328,9.49331,9.32025,8.13884,8.53937,8.45976
329,9.42315,9.57478,11.50865,11.57220,11.73076
330,9.35542,9.47855,9.47855,9.74510,9.69547
331,9.29010,9.32979,9.32979,9.61122,9.52552
332,9.22714,10.17827,10.17827,10.37485,10.45324
333,9.16651,9.38145,9.38145,9.65771,9.74591
334,9.10815,9.42497,9.42497,9.69688,9.62181
335,9.05202,9.20180,9.20180,9.49603,9.46787
336,8.99807,9.46744,9.46744,9.73510,9.70181
337,8.94627,9.53287,9.53287,9.79400,9.92607
338,8.89654,9.06512,9.06512,9.37301,9.22081
339,8.84885,9.55643,9.55643,9.81520,9.68653
340,8.80314,8.70398,8.70398,9.04799,9.01988
341,8.75936,9.51832,9.51832,9.78090,9.75427
342,8.71745,9.85424,10.94353,11.06359,11.01265
343,8.67736,8.38953,11.34803,11.42763,11.60002
344,8.63903,9.08132,7.46015,7.92854,8.12632
345,8.60240,8.70581,8.70581,9.04964,8.93656
346,8.56741,9.20435,9.20435,9.49833,9.41238
347,8.53401,8.82055,8.82055,9.15290,9.18566
348,8.50214,9.06979,9.06979,9.37722,9.50640
349,8.47173,8.07425,8.07425,8.48124,8.48705
350,8.44274,9.46416,9.46416,9.73215,9.66944
351,8.41509,8.32624,8.32624,8.70803,8.78320
352,8.38873,9.26081,9.26081,9.54913,9.74164
353,8.36361,8.18577,8.18577,8.58160,8.49724
354,8.33965,8.10628,8.10628,8.51006,8.45152
355,8.31680,9.08564,9.08564,9.39148,9.42461
356,8.29501,8.64048,8.64048,8.99084,8.86627
357,8.27420,7.87650,7.87650,8.30326,8.10613
358,8.25434,9.40312,9.40312,9.67722,9.71668
359,8.23535,8.74761,8.74761,9.08726,8.94601
360,8.21719,9.18529,9.18529,9.48117,9.51715
361,8.19979,8.84989,6.87647,7.40323,7.49542
362,8.18310,8.10726,6.62134,7.17362,7.10955
363,8.16708,9.02148,10.59188,10.74710,10.90770
364,8.15165,7.43977,7.43977,7.91020,8.05856
365,8.13678,8.02297,8.02297,8.43508,8.54232
